Product ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded;Tax rules ID;On sale (0/1);Summary;Description;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...)
;1;ASSAM DIKOM STGFOPI;HerbataKlasycznaHerbata CzarnaHerbaty indyjskie AssamHerbaty do biura;15.95;1;0;Mocna i cierpka herbata o głębokim kolorze naparu.;Prowincja Assam to region na północnym wschodzie Indii, gdzie uprawia się odmianę herbaty o nazwie Camellia assamica, której liście ze względu na wysoką jakość są często stosowane do uszlachetniania mieszanek gorszego gatunku. Odmiana Assam Dikom STGFOP (Special Finest Tippy Golden Flowery Orange Pekoe) jest uznawana za rarytas jakościowy, zawierający bardzo drobne, starannie wyselekcjonowane listki o równomiernej wielkości. Dzięki właściwemu zaparzeniu uzyskuje się aromatyczny, ciemnoczerwony napar o naturalnym miodowym posmaku.;1;https://czasnaherbate.net/2112-home_default/assam-dikom-stgfopi.webphttps://czasnaherbate.net/2112-home_default/assam-dikom-stgfopi.webphttps://czasnaherbate.net/2112-small_medium/assam-dikom-stgfopi.webp
;1;ASSAM TGFOP DEKORAI;HerbataKlasycznaHerbata CzarnaHerbaty indyjskie AssamHerbaty do restauracji;16.45;1;0;Wyśmienita herbata czarna  o wyrazistym smaku.;Prowincja Assam to region na północnym wschodzie Indii, gdzie uprawia się odmianę herbaty o nazwie Camellia assamica. Ze względu na wysoką jakość liście tej odmiany są często stosowane do uszlachetniania mieszanek herbat niższego gatunku. Herbaty z regionu Assam są zaliczane do pięciu najlepszych herbat na świecie. Standard TGFOP (Tippy Golden Flowery Orange Pekoe) oznacza główną klasę herbat pochodzących z regionów Assam oraz Darjeeling, zawierających duże ilości tzw. złotych tipsów, czyli dwóch pierwszych listków z krzewu wraz z pączkami. Napar posiada barwę brązowo-bursztynową i mocny, cierpkawy, ale równocześnie słodki smak. Filiżanka herbaty Assam dodaje energii i doskonale orzeźwia.;1;https://czasnaherbate.net/2114-home_default/assam-tgfop-dekorai.webphttps://czasnaherbate.net/2114-home_default/assam-tgfop-dekorai.webphttps://czasnaherbate.net/2114-small_medium/assam-tgfop-dekorai.webp
;1;CEYLON HIGH GROWN OP;HerbataKlasycznaHerbata CzarnaHerbaty cejlońskieHerbaty do restauracjiHerbaty do biura;15.45;1;0;Czarna herbata o delikatnym aromacie z wyczuwalnym kwiatowym akcentem.;W przypadku Cejlonu (Sri Lanka) herbatę uprawia się praktycznie od poziomu morza, aż po szczyty centralnie położonego masywu górskiego (ok. 2300 m n.p.m). Najlepsze gatunki pochodzą z upraw wysokogórskich usytuowanych powyżej 1200 m n.p.m. Ceylon High Grown OP (Orange Pekoe) to propozycja herbaty czarnej o długich, spiczastych liściach, sporadycznie zawierającej złotawe tipsy Napar charakteryzuje się delikatnym aromatem, orzeźwiającym smakiem oraz czerwono- złotą barwą.;1;https://czasnaherbate.net/73-home_default/ceylon-high-grown-op.webphttps://czasnaherbate.net/73-home_default/ceylon-high-grown-op.webphttps://czasnaherbate.net/4084-home_default/ceylon-high-grown-op.webphttps://czasnaherbate.net/73-home_default/ceylon-high-grown-op.webphttps://czasnaherbate.net/73-small_medium/ceylon-high-grown-op.webphttps://czasnaherbate.net/73-home_default/ceylon-high-grown-op.webphttps://czasnaherbate.net/4084-small_medium/ceylon-high-grown-op.webp
;1;DA HONG PAO STD;HerbataKlasycznaHerbata CzarnaHerbaty chińskie;27.95;1;0;Herbata turkusowa z Chin.;Da Hong Pao to legenda wśród herbat należących do grupy herbat turkusowych – Oolong. Pochodzi z gór Wu Yi Shan w chińskiej prowincji Fujian. Górski klimat i skłąd gleby wpływają na smak rosnącej w tym rejonie herbaty, nazywanej w związku z tym skalną. Nazwa Da Hong Pao nawiązuje do legendy i oznacza Wielką Czerwoną Szatę. Susz ciemnej barwy i pozawijane listki oraz pomarańczowo-złotą wręcz miodowa barwę, a w zapachu wyczuwalne są nuty orzechowe oraz drzewne lekko palone dymne. Smak odrobinę ściągający, przeradzający się w karmelową słodycz. Herbata oolong po zbiorze jest poddawana procesowi więdnięcia, a następnie jest przekładana do specjalnych koszy , w których jest potrząsana. Podczas tego procesu listki obcierają się o brzegi kosza, przez co powstają w nich drobne uszkodzenia. Dzięki tym obtarciom z tkanek liści uwalniają się soki, które pomagają przy późniejszej oksydacji. Proces obcierania i utleniania liści jest powtarzalny kilkakrotnie, dzięki czemu możliwa jest duża kontrola nad stopniem utleniania herbat. W zależności od gatunku utlenia się od kilku do nawet 90 procent. Da Hong Pao należy do tych wysoko utlenionych – powyżej 60%.;1;https://czasnaherbate.net/3167-home_default/da-hong-pao-std.webphttps://czasnaherbate.net/3167-home_default/da-hong-pao-std.webphttps://czasnaherbate.net/3167-small_medium/da-hong-pao-std.webp
Product ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded;Tax rules ID;On sale (0/1);Summary;Description;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...)
;1;BANCHA;HerbataKlasycznaHerbata ZielonaHerbaty chińskieHerbaty do restauracji;19.45;1;0;Zielona herbata typu japońskiego;Bancha należy do grona herbat zielonych. Pozyskiwana jest z krzewu Camellia sinensis czyli z tego samego, z którego pozyskuje się herbatę Sencha. Sencha powstaje z pierwszego zbioru delikatnych, młodych listków herbaty. Bancha zaś to tzw. herbata późnego zbioru (zbierana późnym latem, jesienią, a nawet i niekiedy zimą). Wyróżnia się Banchę z drugiego zbioru, uzyskiwaną najwcześniej – pod koniec lata, tradycyjnie nazywaną nibanchą. Charakteryzuje się najwyższą jakością. Bancha z trzeciego zbioru – to sanbancha, a z czwartego to yonbancha. W obrocie towarowym wszystkie trzy zbiory noszą jedną nazwę Bancha. Bancha produkowana jest z liści twardszych, grubo żyłkowanych z łodyżkami. W Japonii to jedna z najpopularniejszych herbat. Jednak mało znana w Europie. Na Starym Kontynencie jest napojem cenionym głównie przez makrobiotyków i wegetarian.;1;https://czasnaherbate.net/2142-home_default/bancha.webphttps://czasnaherbate.net/2142-home_default/bancha.webphttps://czasnaherbate.net/2142-small_medium/bancha.webp
;1;BI LUO CHUN;HerbataKlasycznaHerbata ZielonaHerbaty chińskie;22.45;1;0;Chińska zielona herbata o mocno zwiniętych listkach.;Bi Luo Chun to zielona herbata pochodząca z Dongting w prowincji Jiangsu w Chinach. Herbata wytrwarzana jest z młodych, świeżych pączków herbacianych, które zrywane są wczesną wiosną. Na plantacjach wśród krzewów herbacianych sadzone są drzewka owocowe, które zapewniają herbacie cień, a także przekazują swój zapach gdy kwitną.;1;https://czasnaherbate.net/2138-home_default/bi-luo-chun.webphttps://czasnaherbate.net/2138-home_default/bi-luo-chun.webphttps://czasnaherbate.net/2138-small_medium/bi-luo-chun.webp
;1;CEYLON DIMBULA OPA2;HerbataKlasycznaHerbata ZielonaHerbaty cejlońskieHerbaty do biuraHerbaty Sri Lanka;19.95;1;0;Cejlońska zielona herbata.;Zielona herbata z wysokich gór Sri Lanki. Charakteryzuje się dużymi, mocno skręconymi liśćmi, które po zalaniu wodą uwalniają swój szlachetny, a zarazem delikatny smak. Idealna dla miłośników cejlońskich herbat.;1;https://czasnaherbate.net/254-home_default/ceylon-dimbula-opa2.webphttps://czasnaherbate.net/254-home_default/ceylon-dimbula-opa2.webphttps://czasnaherbate.net/254-small_medium/ceylon-dimbula-opa2.webp
;1;CHINA GREEN YUNNAN;HerbataKlasycznaHerbata ZielonaHerbaty w puszkach firmowychHerbaty chińskie Yunnan;19.95;1;0;Wyjątkowa w smaku herbata zielona z rejonu Yunnan.;Herbata zielona pochodząca z prowincji Yunnan. Wyjątkowo odświeżająca i pobudzająca do aktywności. Herbata pochodzi z górskiej prowincji Yunnan położonej w Chinach przy granicy z Wietnamem, Birmą i Laosem. Krzewy herbaciane charakteryzują się szerokimi i mięsistymi liśćmi o połyskującej powierzchni. Napar o delikatnym smaku uznawanym przez miłośników herbaty na całym świecie. China Yunnan jest uznawana za jedną z najlepszych klasycznych herbat na rynku. Herbatę zieloną otrzymuje się poddając suszeniu liście niezwłocznie po zerwaniu ich z krzewu, tak aby nie dopuścić do rozpoczęcia procesu utleniania. Dzięki temu herbata zielona utrzymuje więcej składników o leczniczych właściwościach. Herbata zielona posiada bardzo ziołowy aromat oraz wyraźnie delikatniejszy smak niż pozostałe rodzaje herbat. Najbardziej popularne odmiany zielonej herbaty to: Sencha, Genmaicha oraz Gunpowder. Szczególną popularnością herbaty zielone cieszą się w Chinach oraz Japonii.;1;https://czasnaherbate.net/2132-home_default/china-green-yunnan.webphttps://czasnaherbate.net/2132-home_default/china-green-yunnan.webphttps://czasnaherbate.net/3047-home_default/china-green-yunnan.webphttps://czasnaherbate.net/2132-home_default/china-green-yunnan.webphttps://czasnaherbate.net/2132-small_medium/china-green-yunnan.webphttps://czasnaherbate.net/2132-home_default/china-green-yunnan.webphttps://czasnaherbate.net/3047-small_medium/china-green-yunnan.webp
